# LAMMPS data file written by OVITO Basic 3.9.2

3880 atoms
4 atom types

0.0 33.591 xlo xhi
0.0 33.591 ylo yhi
0.0 33.591 zlo zhi

Masses

1 1.00794  # H
2 12.0107  # C
3 14.0067  # N
4 15.9994  # O

Atoms  # atomic

278 2 -10.946 -6.886 -2.494
279 2 -9.704 -6.16 -3.086
280 2 -10.186 -5.245 -4.177
281 2 -9.039 -4.472 -4.875
282 2 -8.671 -3.265 -3.99
283 2 -7.535 -2.428 -4.664
284 3 -6.361 -3.266 -4.822
285 2 -5.888 -3.785 -6.0
286 4 -6.538 -3.524 -6.956
287 1 -7.115 -11.538 -1.883
288 1 -6.917 -12.341 -0.324
289 1 -6.936 -9.963 0.724
290 1 -7.179 -9.31 -0.869
291 1 -9.371 -10.452 -1.16
292 1 -9.27 -11.18 0.516
293 1 -9.221 -8.833 1.372
294 1 -10.738 -9.519 0.704
295 1 -11.155 -8.865 -1.777
296 1 -11.538 -7.184 -3.365
297 1 -11.504 -6.141 -1.919
298 1 -9.121 -5.522 -2.415
299 1 -8.963 -6.856 -3.489
300 1 -10.979 -4.562 -3.858
301 1 -10.576 -5.852 -5.0
302 1 -9.389 -4.006 -5.8
303 1 -8.229 -5.197 -4.993
304 1 -8.344 -3.628 -3.011
305 1 -9.564 -2.659 -3.81
306 1 -7.886 -1.985 -5.601
307 1 -7.373 -1.545 -4.039
308 1 -5.866 -3.61 -3.999
309 2 -4.544 -4.478 -5.981
310 2 -4.111 -4.975 -7.373
311 2 -3.443 -3.803 -8.12
312 2 -3.263 -4.255 -9.516
313 2 -2.802 -3.121 -10.382
314 4 -3.583 -2.296 -10.858
315 3 -1.541 -3.008 -10.829
316 2 -1.017 -1.989 -11.633
317 2 -0.214 -2.492 -12.828
318 2 -1.02 -2.32 -14.184
319 2 -2.135 -3.375 -14.372
320 2 -1.709 -4.866 -14.627
321 2 -1.738 -5.815 -13.439
322 3 -3.102 -6.004 -13.053
323 2 -3.854 -7.204 -13.018
324 4 -3.24 -8.248 -13.211
325 1 -3.791 -3.742 -5.683
326 1 -4.608 -5.289 -5.25
327 1 -3.363 -5.77 -7.309
328 1 -4.887 -5.417 -8.005
329 1 -4.046 -2.893 -8.045
330 1 -2.471 -3.515 -7.71
331 1 -4.154 -4.748 -9.917
332 1 -2.436 -4.966 -9.442
333 1 -0.946 -3.792 -10.564
334 1 -1.732 -1.317 -12.116
335 1 -0.294 -1.424 -11.038
336 1 0.597 -1.762 -12.904
337 1 0.296 -3.443 -12.648
338 1 -0.365 -2.431 -15.053
339 1 -1.404 -1.3 -14.269
340 1 -2.589 -3.146 -15.34
341 1 -2.856 -3.241 -13.561
342 1 -0.662 -4.887 -14.942
343 1 -2.274 -5.278 -15.468
344 1 -1.233 -6.745 -13.715
345 1 -1.159 -5.38 -12.619
346 1 -3.538 -5.209 -12.589
347 2 -5.317 -7.141 -12.538
348 2 -6.256 -8.309 -12.988
349 2 -7.592 -8.321 -12.202
350 2 -8.466 -9.525 -12.558
351 2 -9.882 -9.528 -11.958
352 4 -10.629 -8.617 -12.247
353 3 -10.158 -10.426 -10.924
354 2 -11.339 -10.307 -10.1
355 2 -11.374 -9.043 -9.185
356 2 -10.297 -8.959 -8.176
357 2 -10.245 -7.628 -7.348
358 2 -10.144 -6.324 -8.323
359 2 -8.844 -6.275 -9.21
360 3 -8.265 -4.953 -9.253
361 2 -7.732 -4.434 -10.406
362 4 -7.822 -5.0 -11.519
363 1 -5.346 -6.944 -11.462
364 1 -5.742 -6.255 -13.018
365 1 -6.444 -8.257 -14.065
366 1 -5.696 -9.24 -12.857
367 1 -7.334 -8.289 -11.139
368 1 -8.138 -7.389 -12.374
369 1 -8.041 -10.493 -12.278
370 1 -8.604 -9.507 -13.643
371 1 -9.432 -11.085 -10.647
372 1 -12.103 -10.316 -10.883
373 1 -11.533 -11.221 -9.531
374 1 -11.394 -8.115 -9.763
375 1 -12.35 -9.022 -8.69
376 1 -9.342 -9.164 -8.67
377 1 -10.35 -9.796 -7.473
378 1 -9.39 -7.722 -6.671
379 1 -11.14 -7.44 -6.747
380 1 -10.036 -5.46 -7.661
381 1 -11.054 -6.189 -8.915
382 1 -8.07 -6.966 -8.864
383 1 -9.057 -6.654 -10.214
384 1 -8.08 -4.471 -8.374
385 2 -7.257 -2.995 -10.466
386 1 -6.842 -2.609 -11.402
387 1 -8.119 -2.377 -10.201
388 1 -6.476 -2.79 -9.728
389 2 3.597 -32.29 -15.9
390 1 4.331 -32.23 -15.09
391 1 4.018 -31.663 -16.691
392 1 2.71 -31.782 -15.51
393 2 3.272 -33.707 -16.405
394 2 2.135 -33.609 -17.428
395 2 1.82 -34.929 -18.125
396 2 0.582 -34.856 -19.045
397 2 -0.768 -34.65 -18.351
398 4 -1.154 -35.399 -17.446
399 3 -1.501 -33.637 -18.945
400 2 -2.729 -33.066 -18.324
401 2 -3.257 -31.789 -19.049
402 2 -3.783 -32.072 -20.492
403 2 -2.682 -31.749 -21.574
404 2 -2.735 -30.199 -21.895
405 2 -1.743 -29.711 -22.937
406 3 -2.103 -28.36 -23.283
407 2 -1.618 -27.261 -22.585
408 4 -0.653 -27.399 -21.796
409 1 4.136 -34.21 -16.85
410 1 3.038 -34.363 -15.562
411 1 1.246 -33.235 -16.913
412 1 2.402 -32.841 -18.16
413 1 2.611 -35.345 -18.756
414 1 1.696 -35.672 -17.332
415 1 0.544 -35.794 -19.607
416 1 0.759 -34.07 -19.785
417 1 -0.975 -33.152 -19.672
418 1 -3.48 -33.86 -18.383
419 1 -2.446 -32.79 -17.304
420 1 -4.056 -31.351 -18.444
421 1 -2.44 -31.062 -19.057
422 1 -4.681 -31.468 -20.65
423 1 -4.149 -33.1 -20.553
424 1 -2.905 -32.318 -22.482
425 1 -1.696 -32.056 -21.214
426 1 -2.616 -29.68 -20.939
427 1 -3.698 -29.961 -22.356
428 1 -0.732 -29.821 -22.534
429 1 -1.945 -30.328 -23.818
430 1 -2.913 -28.205 -23.882
431 2 -2.211 -25.867 -22.895
432 2 -2.649 -25.034 -21.683
433 2 -3.598 -25.798 -20.704
434 2 -5.072 -26.071 -21.236
435 2 -5.964 -26.833 -20.217
436 4 -6.198 -28.056 -20.142
437 3 -6.203 -26.109 -19.032
438 2 -6.678 -26.737 -17.734
439 2 -7.446 -25.649 -16.97
440 2 -7.921 -26.183 -15.576
441 2 -8.566 -25.081 -14.733
442 2 -8.715 -25.606 -13.325
443 2 -9.016 -24.444 -12.381
444 3 -8.992 -24.905 -11.047
445 2 -7.771 -24.988 -10.342
446 4 -6.673 -24.763 -10.837
447 1 -1.426 -25.298 -23.402
448 1 -2.958 -25.926 -23.692
449 1 -1.758 -24.716 -21.134
450 1 -3.241 -24.172 -22.004
451 1 -3.091 -26.704 -20.361
452 1 -3.79 -25.152 -19.843
